Host_label	Total_count	Written_count
Komagataeibacter	24	24
Sphingobacterium	24	24
Fenollaria	24	24
Furfurilactobacillus	24	24
GCA-2696645	24	24
TM7x	24	24
Peptoanaerobacter	23	23
Rhodoferax	23	23
Erysipelatoclostridiaceae	23	23
Paenibacillaceae	23	23
Mycobacteriaceae	23	23
CAG-724	23	23
Steroidobacteraceae	23	23
Brenneria	23	23
CAG-465	23	23
QALS01	23	23
UBA1691	23	23
Spiroplasma	22	22
NA;Dakarella	22	22
Butyricicoccaceae	22	22
Lysobacter	22	22
Alteriqipengyuania	22	22
UMGS1696	22	22
BOG-1363	22	22
VUNA01	22	22
Pseudovibrio	22	22
Devosia	22	22
CAG-382	21	21
Moritella	21	21
Liquorilactobacillus	21	21
Cereibacter	21	21
RUG115	21	21
Negativibacillus	21	21
Chloroflexota	21	21
Gemmataceae	21	21
UBA1685	21	21
UBA6398	21	21
UBA1436	21	21
Cryobacterium	21	21
Roseovarius	21	21
Kluyvera	21	21
Thalassospira	21	21
Varibaculum	20	20
Brachyspira	20	20
Anaeromassilibacillus	20	20
Nitrosomonas	20	20
Brochothrix	20	20
NA;GCF	20	20
Marinifilaceae	20	20
Vibrionaceae	20	20
Alcaligenes	20	20
Leifsonia	20	20
Anoxybacillus	20	20
Borkfalkiaceae	20	20
UBA737	20	20
Olsenella_E	20	20
Veillonella_A	20	20
